NAMESPACE           NAME                                        READY   STATUS    RESTARTS        AGE     IP            NODE             NOMINATED NODE   READINESS GATES
shopno-platform     domain-service-5fb9c8f984-424xv             1/1     Running   17 (161m ago)   2d5h    10.42.0.198   shopnoltd-pc-1   <none>           <none>
shopno-platform     event-service-67dd65f8d-mtfqp               1/1     Running   21 (161m ago)   2d5h    10.42.0.203   shopnoltd-pc-1   <none>           <none>
shopno-platform     foundation-service-5b5c48c98c-9pqrz         1/1     Running   19 (161m ago)   2d5h    10.42.0.180   shopnoltd-pc-1   <none>           <none>
shopno-platform     freedomain-service-5d8d4c7f5d-qzlsz         1/1     Running   15 (165m ago)   2d5h    10.42.0.166   shopnoltd-pc-1   <none>           <none>
shopno-platform     gateway-76ff59dd88-8fg8m                    1/1     Running   20 (161m ago)   2d5h    10.42.0.196   shopnoltd-pc-1   <none>           <none>
shopno-platform     interior-service-647cd5d8f-dqc79            1/1     Running   19 (162m ago)   2d5h    10.42.0.168   shopnoltd-pc-1   <none>           <none>
shopno-platform     license-service-7bbc6ff55-4f44m             1/1     Running   20 (165m ago)   2d5h    10.42.0.204   shopnoltd-pc-1   <none>           <none>
shopno-platform     mobile-api-79568bc744-vqf66                 1/1     Running   19 (161m ago)   2d5h    10.42.0.190   shopnoltd-pc-1   <none>           <none>
shopno-platform     notification-service-7687494d6d-xjfwl       1/1     Running   17 (162m ago)   2d5h    10.42.0.165   shopnoltd-pc-1   <none>           <none>
shopno-platform     report-service-757fb95c4f-r5bjn             1/1     Running   20 (161m ago)   2d5h    10.42.0.189   shopnoltd-pc-1   <none>           <none>
shopno-platform     search-service-bd6d47d5c-b5d52              1/1     Running   20 (165m ago)   2d5h    10.42.0.206   shopnoltd-pc-1   <none>           <none>
shopno-platform     shopnoltd-web-5f9786bb68-7nkq4              1/1     Running   10 (165m ago)   2d5h    10.42.0.178   shopnoltd-pc-1   <none>           <none>
shopno-platform     storage-service-767cb5d596-d8l27            1/1     Running   19 (165m ago)   2d5h    10.42.0.208   shopnoltd-pc-1   <none>           <none>
shopno-platform     tenant-router-55cdbfbdd4-cxb7f              1/1     Running   15 (162m ago)   2d5h    10.42.0.177   shopnoltd-pc-1   <none>           <none>
shopno-platform     training-service-6cf87b954b-ddlc4           1/1     Running   18 (162m ago)   2d5h    10.42.0.173   shopnoltd-pc-1   <none>           <none>
shopno-platform     web-portal-7c57c49984-rrxbj                 1/1     Running   0               51m     10.42.0.228   shopnoltd-pc-1   <none>           <none>
shopno-platform     worker-service-6f554bcd89-nhcgh             1/1     Running   21 (162m ago)   2d5h    10.42.0.181   shopnoltd-pc-1   <none>           <none>
